method,baseline,metric,paired_runs,relative_change_percent,ci95_low,ci95_high
Neural A*,A*,path_length,3,7.045740996073626,7.045740996073626,7.045740996073626
Neural A*,A*,expanded_nodes,3,-22.45283018867924,-22.45283018867924,-22.45283018867924
Neural A*,A*,runtime_ms,3,1.043617028954278,-4.412805031514628,4.785216688056004
iA*,A*,path_length,3,1.1518265773128473,1.1518265773128473,1.1518265773128473
iA*,A*,expanded_nodes,3,-20.50314465408805,-20.754716981132077,-20.000000000000004
iA*,A*,runtime_ms,3,91.37467603574119,73.91601332571966,100.16137241493442
