method,baseline,metric,paired_runs,relative_change_percent,ci95_low,ci95_high
Neural A*,A*,path_length,3,9.337757409554388,9.337757409554388,9.337757409554388
Neural A*,A*,expanded_nodes,3,-14.410480349344974,-14.410480349344974,-14.410480349344974
Neural A*,A*,runtime_median_ms,3,42.77043392576792,39.137263602870355,45.15183371879976
iA*,A*,path_length,3,0.901366064102408,0.726720588731857,1.0918082488909493
iA*,A*,expanded_nodes,3,-21.425552894773904,-23.270883222989152,-19.749260459219602
iA*,A*,runtime_median_ms,3,124.93244797891805,123.32529529570441,127.98726459015406
