method,runs,success_rate_mean,success_rate_std,success_rate_ci95_low,success_rate_ci95_high,path_length_mean,path_length_std,path_length_ci95_low,path_length_ci95_high,expanded_nodes_mean,expanded_nodes_std,expanded_nodes_ci95_low,expanded_nodes_ci95_high,runtime_median_ms_mean,runtime_median_ms_std,runtime_median_ms_ci95_low,runtime_median_ms_ci95_high,runtime_p95_ms_mean,runtime_p95_ms_std,runtime_p95_ms_ci95_low,runtime_p95_ms_ci95_high
A*,3,1.0,0.0,1.0,1.0,34.0840145111084,0.0,34.0840145111084,34.0840145111084,70.99,0.0,70.99,70.99,8.56825,0.2474349207367463,8.32325,8.81805,75.69233166666665,1.7481211702786152,74.49524699999999,77.69841399999996
Neural A*,3,1.0,0.0,1.0,1.0,37.26669710159302,0.0,37.26669710159302,37.26669710159302,60.76,0.0,60.76,60.76,12.232083333333335,0.4136383122165227,11.91495,12.699950000000001,56.01156233333332,0.30057772023277735,55.668506,56.228711000000004
iA*,3,1.0,0.0,1.0,1.0,34.391236251195274,0.0623927430993203,34.33171006202698,34.45614659309387,55.78,1.254312560727987,54.47,56.97,19.269099999999998,0.3864232750495254,18.975949999999997,19.707,66.33431533333332,4.187484951560117,63.42398499999999,71.13350700000001
