training_seed,eval_seed,method,cases,success_rate,path_length,expanded_nodes,runtime_median_ms,runtime_p95_ms
1234,2026,A*,100,1.0,34.0840145111084,70.99,8.32325,74.88333399999998
1234,2026,Neural A*,100,1.0,37.26669710159302,60.76,12.08135,56.228711000000004
1234,2026,iA*,100,1.0,34.45614659309387,54.47,18.975949999999997,63.42398499999999
2026,2026,A*,100,1.0,34.0840145111084,70.99,8.81805,77.69841399999996
2026,2026,Neural A*,100,1.0,37.26669710159302,60.76,12.699950000000001,56.13746999999998
2026,2026,iA*,100,1.0,34.33171006202698,56.97,19.707,71.13350700000001
3407,2026,A*,100,1.0,34.0840145111084,70.99,8.56345,74.49524699999999
3407,2026,Neural A*,100,1.0,37.26669710159302,60.76,11.914950000000001,55.668505999999994
3407,2026,iA*,100,1.0,34.385852098464966,55.9,19.12435,64.44545399999998
