training_seed,eval_seed,case_id,order_index,method,success,path_length,expanded_nodes,runtime_ms,runtime_p95_ms,timing_repeats
1234,2026,23,2,Neural A*,1,35.55634689331055,36,12.4458,13.5228,5
1234,2026,24,0,A*,1,17.414213180541992,18,5.1402,6.13356,5
1234,2026,24,1,Neural A*,1,21.55634880065918,18,7.3728,8.06336,5
1234,2026,24,2,iA*,1,17.414213180541992,18,15.6472,16.24492,5
1234,2026,25,0,Neural A*,1,37.69848251342773,31,11.0632,12.12398,5
1234,2026,25,1,iA*,1,36.041629791259766,30,18.8849,19.75698,5
1234,2026,25,2,A*,1,36.041629791259766,30,8.251,8.7529,5
1234,2026,26,0,iA*,1,24.65685272216797,24,17.411,17.81154,5
1234,2026,26,1,A*,1,24.6568546295166,24,6.6223,7.2635,5
1234,2026,26,2,Neural A*,1,27.97056198120117,24,9.3588,9.80032,5
1234,2026,27,0,A*,1,52.69848251342773,303,78.6589,81.10034,5
1234,2026,27,1,Neural A*,1,57.669044494628906,194,55.9646,56.21824,5
1234,2026,27,2,iA*,1,52.69848251342773,198,64.3394,66.31208000000001,5
1234,2026,28,0,Neural A*,1,34.62741470336914,97,29.0779,31.31476,5
1234,2026,28,1,iA*,1,31.31370735168457,68,28.6934,30.12146,5
1234,2026,28,2,A*,1,31.31370735168457,88,24.2255,25.49254,5
1234,2026,29,0,iA*,1,31.455841064453125,25,19.3873,21.47268,5
1234,2026,29,1,A*,1,31.455841064453125,25,7.8131,8.465720000000001,5
1234,2026,29,2,Neural A*,1,34.870059967041016,28,11.5314,12.36182,5
1234,2026,30,0,A*,1,43.112701416015625,76,20.3934,20.8509,5
1234,2026,30,1,Neural A*,1,44.7695541381836,43,14.5357,14.73178,5
1234,2026,30,2,iA*,1,43.698486328125,50,25.5301,25.87798,5
1234,2026,31,0,Neural A*,1,24.21320152282715,20,8.9467,9.66628,5
1234,2026,31,1,iA*,1,22.556346893310547,19,15.8277,16.40046,5
1234,2026,31,2,A*,1,22.556346893310547,19,5.2232,6.043819999999999,5
1234,2026,32,0,iA*,1,34.79898834228516,30,19.5665,20.77722,5
1234,2026,32,1,A*,1,34.79898834228516,30,8.7047,9.26308,5
1234,2026,32,2,Neural A*,1,37.284271240234375,30,10.8721,12.33414,5
1234,2026,33,0,A*,1,30.62741470336914,60,16.4313,17.467760000000002,5
1234,2026,33,1,Neural A*,1,33.94112777709961,25,9.8326,10.30478,5
1234,2026,33,2,iA*,1,32.041629791259766,65,27.9744,29.86266,5
1234,2026,34,0,Neural A*,1,48.59797668457031,103,30.4223,38.13882,5
1234,2026,34,1,iA*,1,44.79899215698242,71,30.6749,30.98074,5
1234,2026,34,2,A*,1,41.97055816650391,100,26.4773,27.58528,5
1234,2026,35,0,iA*,1,35.041629791259766,91,34.4602,35.88664,5
1234,2026,35,1,A*,1,35.041629791259766,134,34.5799,36.13606,5
1234,2026,35,2,Neural A*,1,41.52691650390625,106,30.8222,32.2374,5
1234,2026,36,0,A*,1,25.79898834228516,21,6.1772,6.4188,5
1234,2026,36,1,Neural A*,1,27.21320533752441,23,9.3267,11.01714,5
1234,2026,36,2,iA*,1,25.79899024963379,21,16.2256,17.6269,5
1234,2026,37,0,Neural A*,1,31.455841064453125,25,9.4679,10.01764,5
1234,2026,37,1,iA*,1,26.48528480529785,25,17.4116,18.32122,5
1234,2026,37,2,A*,1,26.485280990600582,25,6.4783,6.97976,5
1234,2026,38,0,iA*,1,20.071067810058597,19,15.8325,16.454980000000003,5
1234,2026,38,1,A*,1,20.071067810058597,19,5.6894,6.071479999999999,5
1234,2026,38,2,Neural A*,1,22.55634880065918,19,8.1262,9.22216,5
1234,2026,39,0,A*,1,36.62741470336914,32,8.9729,9.91566,5
1234,2026,39,1,Neural A*,1,41.11269760131836,36,12.3544,13.33942,5
1234,2026,39,2,iA*,1,36.62741470336914,31,19.2595,19.6466,5
1234,2026,40,0,Neural A*,1,55.49747467041016,192,54.7091,56.42766,5
1234,2026,40,1,iA*,1,49.69848251342773,187,61.2639,63.27198,5
1234,2026,40,2,A*,1,49.69848251342773,247,63.5582,65.87570000000001,5
1234,2026,41,0,iA*,1,20.899494171142575,19,16.1276,16.586599999999997,5
1234,2026,41,1,A*,1,20.899494171142575,19,4.6373,4.98728,5
1234,2026,41,2,Neural A*,1,22.55634880065918,19,8.1508,8.497,5
1234,2026,42,0,A*,1,30.798992156982425,26,7.4851,8.29998,5
1234,2026,42,1,Neural A*,1,34.94112777709961,28,10.7822,11.39352,5
1234,2026,42,2,iA*,1,30.79898834228516,26,17.9399,19.1044,5
1234,2026,43,0,Neural A*,1,35.041629791259766,29,10.8129,11.15224,5
1234,2026,43,1,iA*,1,31.97056007385254,28,18.4438,19.27036,5
1234,2026,43,2,A*,1,31.97056198120117,28,8.9431,9.85928,5
1234,2026,44,0,iA*,1,28.79899024963379,24,17.7508,18.398,5
1234,2026,44,1,A*,1,28.79899024963379,24,6.4234,6.783860000000001,5
1234,2026,44,2,Neural A*,1,31.627416610717773,26,9.5168,10.34316,5
1234,2026,45,0,A*,1,40.97056579589844,139,36.632,37.79906,5
1234,2026,45,1,Neural A*,1,47.59798049926758,148,42.5558,43.0855,5
1234,2026,45,2,iA*,1,41.55635070800781,73,31.4528,33.18414,5
1234,2026,46,0,Neural A*,1,52.18376159667969,69,21.483,23.50732,5
1234,2026,46,1,iA*,1,50.52691268920898,69,30.4625,32.97112,5
1234,2026,46,2,A*,1,45.94112396240234,103,27.2671,28.4351,5
1234,2026,47,0,iA*,1,40.3137092590332,38,20.978,22.36814,5
1234,2026,47,1,A*,1,40.3137092590332,38,10.4299,11.31732,5
1234,2026,47,2,Neural A*,1,43.62741470336914,61,19.1946,19.84608,5
1234,2026,48,0,A*,1,21.313705444335938,19,5.6751,5.7958,5
1234,2026,48,1,Neural A*,1,27.798992156982425,34,12.4205,13.670520000000002,5
1234,2026,48,2,iA*,1,21.31370735168457,19,16.3995,17.12996,5
1234,2026,49,0,Neural A*,1,42.7695541381836,100,29.7817,30.71432,5
1234,2026,49,1,iA*,1,41.94112777709961,90,35.1826,36.8667,5
1234,2026,49,2,A*,1,40.284271240234375,146,37.9711,41.92702,5
1234,2026,50,0,iA*,1,33.21320343017578,29,18.7114,19.49968,5
1234,2026,50,1,A*,1,30.97056198120117,32,8.5928,9.04888,5
1234,2026,50,2,Neural A*,1,35.11269760131836,30,10.9327,11.16146,5
1234,2026,51,0,A*,1,34.3847770690918,172,46.1633,47.2657,5
1234,2026,51,1,Neural A*,1,40.76955032348633,158,44.2267,45.38744,5
1234,2026,51,2,iA*,1,35.21320343017578,129,46.2022,49.28766,5
1234,2026,52,0,Neural A*,1,22.142135620117188,19,8.1165,9.58354,5
1234,2026,52,1,iA*,1,19.6568546295166,19,15.7877,17.11324,5
1234,2026,52,2,A*,1,19.6568546295166,19,5.1162,5.91404,5
1234,2026,53,0,iA*,1,32.97056198120117,29,18.701,21.21098,5
1234,2026,53,1,A*,1,32.97056198120117,29,8.2069,8.82494,5
1234,2026,53,2,Neural A*,1,35.455841064453125,34,12.324,13.1651,5
1234,2026,54,0,A*,1,28.313709259033203,26,8.0487,8.68468,5
1234,2026,54,1,Neural A*,1,33.284271240234375,28,10.7088,12.41946,5
1234,2026,54,2,iA*,1,28.313709259033203,26,17.7955,18.16926,5
1234,2026,55,0,Neural A*,1,40.284271240234375,46,15.1577,15.55056,5
1234,2026,55,1,iA*,1,36.14213562011719,33,21.2129,21.60728,5
1234,2026,55,2,A*,1,36.14213562011719,33,8.8578,10.45706,5
1234,2026,56,0,iA*,1,38.14213562011719,84,36.549,39.04936,5
1234,2026,56,1,A*,1,38.14213562011719,135,38.4908,40.41398,5
1234,2026,56,2,Neural A*,1,43.11269760131836,143,45.0798,45.66528,5
1234,2026,57,0,A*,1,19.72792053222656,17,4.9714,5.30032,5
1234,2026,57,1,Neural A*,1,20.55634880065918,18,8.286,9.6931,5
1234,2026,57,2,iA*,1,19.727922439575195,17,16.6904,18.10186,5
1234,2026,58,0,Neural A*,1,40.28426742553711,41,15.3322,16.050639999999998,5
