case_id,method,success,path_length,expanded_nodes,runtime_ms
0,A*,1,35.45584487915039,29,12.631
0,Neural A*,1,38.284271240234375,43,20.126
0,iA*,1,35.45584487915039,29,25.4339
1,A*,1,39.798988342285156,60,11.4178
1,Neural A*,1,42.284271240234375,58,12.473
1,iA*,1,41.213199615478516,49,18.5694
2,A*,1,33.72792053222656,31,6.5926
2,Neural A*,1,37.870059967041016,31,7.9366
2,iA*,1,33.72792434692383,31,23.0695
3,A*,1,30.79899024963379,26,5.3183
3,Neural A*,1,31.627416610717773,26,8.068
3,iA*,1,30.79899024963379,26,13.6663
4,A*,1,44.35533905029297,205,39.036
4,Neural A*,1,46.0121955871582,102,20.138
4,iA*,1,47.52690887451172,133,37.1243
5,A*,1,31.384777069091797,45,9.1511
5,Neural A*,1,32.21320343017578,36,9.2061
5,iA*,1,31.384777069091797,36,16.8534
6,A*,1,36.94112777709961,28,5.5577
6,Neural A*,1,38.35533905029297,29,7.567
6,iA*,1,36.94112777709961,28,13.6292
7,A*,1,27.627416610717773,22,4.884
7,Neural A*,1,29.284271240234375,22,6.6805
7,iA*,1,27.627416610717773,22,14.0499
8,A*,1,33.55635070800781,31,6.3872
8,Neural A*,1,38.87005615234375,34,10.6875
8,iA*,1,32.97056198120117,29,17.1071
9,A*,1,33.62741470336914,53,10.5042
9,Neural A*,1,36.941123962402344,30,10.3168
9,iA*,1,33.62741470336914,41,16.9571
10,A*,1,31.62741470336914,26,5.5602
10,Neural A*,1,32.455841064453125,27,6.9918
10,iA*,1,31.627418518066406,26,14.4481
11,A*,1,40.97056579589844,172,33.1692
11,Neural A*,1,45.94112014770508,141,30.4693
11,iA*,1,40.970558166503906,117,30.6126
12,A*,1,35.798988342285156,182,34.7288
12,Neural A*,1,38.284271240234375,163,35.0677
12,iA*,1,35.798988342285156,165,40.3588
13,A*,1,40.04163360595703,34,8.2626
13,Neural A*,1,41.698486328125,34,8.4136
13,iA*,1,40.0416259765625,34,17.6042
14,A*,1,33.798988342285156,29,6.0618
14,Neural A*,1,35.455841064453125,34,8.2797
14,iA*,1,33.798988342285156,29,14.3616
15,A*,1,32.72792053222656,30,6.3309
15,Neural A*,1,34.38477325439453,37,8.542
15,iA*,1,32.72792053222656,30,14.6718
16,A*,1,32.87005615234375,26,4.9534
16,Neural A*,1,34.52690887451172,27,7.879
16,iA*,1,32.87005615234375,26,13.5348
17,A*,1,28.727920532226562,27,5.3124
17,Neural A*,1,31.21320343017578,26,7.2946
17,iA*,1,28.727920532226562,26,15.9583
18,A*,1,25.55634880065918,47,9.0644
18,Neural A*,1,27.21320343017578,44,11.9938
18,iA*,1,27.21320343017578,35,16.786
19,A*,1,32.97056198120117,29,5.6307
19,Neural A*,1,35.455841064453125,35,9.2946
19,iA*,1,32.97056198120117,29,15.2412
20,A*,1,47.041629791259766,282,55.4666
20,Neural A*,1,51.18376159667969,163,32.8594
20,iA*,1,47.041629791259766,168,43.9503
21,A*,1,45.79898452758789,127,23.6421
21,Neural A*,1,49.941123962402344,105,23.3527
21,iA*,1,47.455841064453125,94,27.2506
22,A*,1,31.313705444335938,108,21.6793
22,Neural A*,1,36.284271240234375,134,28.4019
22,iA*,1,31.31370735168457,98,29.2967
23,A*,1,30.970561981201172,28,5.8523
23,Neural A*,1,35.55634689331055,36,8.8988
23,iA*,1,30.970561981201172,27,14.0143
24,A*,1,17.414213180541992,18,3.7546
24,Neural A*,1,21.55634880065918,18,5.2383
24,iA*,1,17.414213180541992,18,11.8344
25,A*,1,36.041629791259766,30,5.6871
25,Neural A*,1,37.698482513427734,31,7.4837
25,iA*,1,36.041629791259766,30,14.1022
26,A*,1,24.6568546295166,24,5.8669
26,Neural A*,1,27.970561981201172,24,8.0164
26,iA*,1,24.65685272216797,24,13.3949
27,A*,1,52.698482513427734,303,56.454
27,Neural A*,1,57.669044494628906,194,39.0316
27,iA*,1,52.698482513427734,198,46.9242
28,A*,1,31.31370735168457,88,15.6572
28,Neural A*,1,34.62741470336914,97,20.8674
28,iA*,1,31.31370735168457,72,22.4251
29,A*,1,31.455841064453125,25,4.8738
29,Neural A*,1,34.870059967041016,28,7.1831
29,iA*,1,31.455841064453125,25,14.0164
30,A*,1,43.112701416015625,76,14.7203
30,Neural A*,1,44.769554138183594,43,10.2561
30,iA*,1,43.698486328125,54,19.6877
31,A*,1,22.556346893310547,19,4.3575
31,Neural A*,1,24.21320152282715,20,6.4035
31,iA*,1,22.556346893310547,19,13.8198
32,A*,1,34.798988342285156,30,6.3771
32,Neural A*,1,37.284271240234375,30,8.6047
32,iA*,1,34.798988342285156,30,16.2238
33,A*,1,30.62741470336914,60,13.6199
33,Neural A*,1,33.94112777709961,25,6.7481
33,iA*,1,31.45584487915039,66,23.0827
34,A*,1,41.970558166503906,100,20.0726
34,Neural A*,1,48.59797668457031,103,21.9172
34,iA*,1,43.62741470336914,74,25.1779
35,A*,1,35.041629791259766,134,25.5501
35,Neural A*,1,41.52691650390625,106,21.9474
35,iA*,1,37.041629791259766,86,25.0397
36,A*,1,25.798988342285156,21,4.5192
36,Neural A*,1,27.213205337524414,23,6.4572
36,iA*,1,25.79899024963379,21,12.8385
37,A*,1,26.485280990600586,25,5.7197
37,Neural A*,1,31.455841064453125,25,7.0456
37,iA*,1,26.48528289794922,25,16.1224
38,A*,1,20.071067810058594,19,4.5355
38,Neural A*,1,22.55634880065918,19,5.8913
38,iA*,1,20.071067810058594,19,12.8331
39,A*,1,36.62741470336914,32,6.8229
39,Neural A*,1,41.11269760131836,36,8.8091
39,iA*,1,36.62741470336914,31,15.57
40,A*,1,49.698482513427734,247,48.4799
40,Neural A*,1,55.497474670410156,192,40.1962
40,iA*,1,49.698482513427734,195,48.6646
41,A*,1,20.899494171142578,19,4.4676
41,Neural A*,1,22.55634880065918,19,7.6192
41,iA*,1,20.899494171142578,19,13.1138
42,A*,1,30.798992156982422,26,5.6275
42,Neural A*,1,34.94112777709961,28,7.5671
42,iA*,1,30.798988342285156,26,14.4842
43,A*,1,31.970561981201172,28,6.183
43,Neural A*,1,35.041629791259766,29,8.0863
43,iA*,1,31.97056007385254,28,15.0244
44,A*,1,28.79899024963379,24,5.2266
44,Neural A*,1,31.627416610717773,26,6.8846
44,iA*,1,28.79899024963379,24,14.9873
45,A*,1,40.97056579589844,139,28.2451
45,Neural A*,1,47.59798049926758,148,30.228
45,iA*,1,40.97056198120117,79,23.6956
46,A*,1,45.941123962402344,103,20.2266
46,Neural A*,1,52.18376159667969,69,15.7666
46,iA*,1,48.526912689208984,71,24.461
47,A*,1,40.3137092590332,38,7.7206
47,Neural A*,1,43.62741470336914,61,14.1063
47,iA*,1,40.3137092590332,38,17.6956
48,A*,1,21.313705444335938,19,3.8636
48,Neural A*,1,27.798992156982422,34,8.7654
48,iA*,1,21.31370735168457,19,11.6479
49,A*,1,40.284271240234375,146,27.0579
49,Neural A*,1,42.769554138183594,100,20.5226
49,iA*,1,41.94112777709961,98,29.8698
50,A*,1,30.970561981201172,32,6.7008
50,Neural A*,1,35.11269760131836,30,9.2314
50,iA*,1,31.798988342285156,29,15.3535
51,A*,1,34.3847770690918,172,33.2512
51,Neural A*,1,40.76955032348633,158,33.2769
51,iA*,1,34.38477325439453,134,37.4422
52,A*,1,19.6568546295166,19,4.4363
52,Neural A*,1,22.142135620117188,19,6.6386
52,iA*,1,19.6568546295166,19,14.4661
53,A*,1,32.97056198120117,29,5.7124
53,Neural A*,1,35.455841064453125,34,9.1974
53,iA*,1,32.97056198120117,29,15.3347
54,A*,1,28.313709259033203,26,5.5494
54,Neural A*,1,33.284271240234375,28,7.8537
54,iA*,1,28.313709259033203,26,13.4574
55,A*,1,36.14213562011719,33,6.4046
55,Neural A*,1,40.284271240234375,46,10.7621
55,iA*,1,36.14213562011719,33,16.0252
56,A*,1,38.14213562011719,135,25.2227
56,Neural A*,1,43.11269760131836,143,28.6226
56,iA*,1,38.14213562011719,89,28.4653
57,A*,1,19.727920532226562,17,3.9686
57,Neural A*,1,20.55634880065918,18,6.5191
57,iA*,1,19.727922439575195,17,13.2231
58,A*,1,37.79898452758789,33,6.3957
58,Neural A*,1,40.28426742553711,41,10.3553
58,iA*,1,37.79898452758789,33,14.886
59,A*,1,31.899492263793945,30,5.8405
59,Neural A*,1,34.38477325439453,39,10.3808
59,iA*,1,31.899492263793945,30,15.8689
60,A*,1,32.45584487915039,26,6.279
60,Neural A*,1,34.698486328125,27,6.9794
60,iA*,1,32.45584487915039,26,14.4094
61,A*,1,38.11269760131836,30,5.92
61,Neural A*,1,38.11269760131836,32,7.9869
61,iA*,1,38.112701416015625,30,13.9806
62,A*,1,29.55634880065918,26,5.0235
62,Neural A*,1,30.384775161743164,30,9.0443
62,iA*,1,29.55634880065918,26,16.1543
63,A*,1,41.21320343017578,36,8.6987
63,Neural A*,1,43.698486328125,44,11.6365
